,City,Location,Flood Type/Depth,Passability,datetime,Road_Sector,hour
0,Quezon City,EDSA After Quezon Ave. Flyover NB,Gutter Deep,Passable to all vehicles,2025-09-12 15:14:00,EDSA_QC_CENTRAL,15:00:00
1,Quezon City,EDSA Quezon Ave. service road NB,Gutter Deep,Passable to all vehicles,2025-09-12 15:14:00,EDSA_QC_CENTRAL,15:00:00
2,Quezon City,EDSA Aurora Tunnel NB,Subsided,Passable to all vehicles,2025-09-12 14:54:00,EDSA_QC_BOUNDARY,14:00:00
3,Quezon City,EDSA before Kamuning flyover SB,Subsided,Passable to all vehicles,2025-09-12 14:55:00,EDSA_QC_SOUTH,14:00:00
4,Quezon City,EDSA After Quezon Ave. Flyover NB,Gutter Deep,Passable to all vehicles,2025-09-12 14:50:00,EDSA_QC_CENTRAL,14:00:00
5,Quezon City,EDSA Aurora Tunnel NB,Gutter Deep,Passable to all vehicles,2025-09-12 14:50:00,EDSA_QC_BOUNDARY,14:00:00
6,Valenzuela City,Mc Arthur Highway Calle Uno NB,Subsided,Passable to all vehicles,2025-09-11 17:25:00,MACARTHUR HIGHWAY,17:00:00
7,Quezon City,EDSA Balintawak NB,Subsided,Passable to all vehicles,2025-09-11 16:51:00,EDSA_CALOOCAN,16:00:00
8,Quezon City,EDSA Oliveros NB,Subsided,Passable to all vehicles,2025-09-11 16:47:00,EDSA_QC_NORTH,16:00:00
9,Quezon City,EDSA North Ave. NB,Subsided,Passable to all vehicles,2025-09-11 17:19:00,EDSA_QC_NORTH,17:00:00
10,Quezon City,EDSA After Quezon Ave. Flyover NB,Subsided,Passable to all vehicles,2025-09-11 17:24:00,EDSA_QC_CENTRAL,17:00:00
11,Caloocan City,EDSA Bagong Barrio SB,Subsided,Passable to all vehicles,2025-09-11 17:06:00,EDSA_QC_NORTH,17:00:00
12,Caloocan City,EDSA Bagong Barrio NB,Gutter Deep,Passable to all vehicles,2025-09-11 17:58:00,EDSA_QC_NORTH,17:00:00
13,Valenzuela City,Mc Arthur Highway Calle Uno NB,Gutter Deep,Passable to all vehicles,2025-09-11 17:58:00,MACARTHUR HIGHWAY,17:00:00
14,Quezon City,EDSA Balintawak NB,Gutter Deep,Passable to all vehicles,2025-09-11 17:20:00,EDSA_CALOOCAN,17:00:00
15,Quezon City,EDSA Oliveros NB,Gutter Deep,Passable to all vehicles,2025-09-11 17:20:00,EDSA_QC_NORTH,17:00:00
16,Quezon City,EDSA North Ave. NB,Gutter Deep,Passable to all vehicles,2025-09-11 17:20:00,EDSA_QC_NORTH,17:00:00
17,Quezon City,EDSA After Quezon Ave. Flyover NB,Gutter Deep,Passable to all vehicles,2025-09-11 17:20:00,EDSA_QC_CENTRAL,17:00:00
18,Caloocan City,EDSA Bagong Barrio NB/SB,Gutter Deep,Passable to all vehicles,2025-09-11 17:20:00,EDSA_QC_NORTH,17:00:00
19,Valenzuela City,Mc Arthur Highway Calle Uno NB,Gutter Deep,Passable to all vehicles,2025-09-11 17:20:00,MACARTHUR HIGHWAY,17:00:00
20,Quezon City,EDSA Balintawak NB,Gutter Deep,Passable to all vehicles,2025-09-11 16:12:00,EDSA_CALOOCAN,16:00:00
21,Quezon City,EDSA Oliveros NB,Gutter Deep,Passable to all vehicles,2025-09-11 16:12:00,EDSA_QC_NORTH,16:00:00
22,Quezon City,EDSA Bagong Barrio NB/SB,Gutter Deep,Passable to all vehicles,2025-09-11 16:12:00,EDSA_QC_NORTH,16:00:00
23,Quezon City,EDSA North Ave. NB,Gutter Deep,Passable to all vehicles,2025-09-11 16:12:00,EDSA_QC_NORTH,16:00:00
24,Parañaque City,Dr. A. Santos Ave. in front of SM Sucat,Subsided,Passable to all vehicles,2025-09-06 16:55:00,DR. SANTOS AVENUE,16:00:00
25,Parañaque City,Dr. A. Santos Ave. near Paranaque National Highschool,Gutter Deep,Passable to all vehicles,2025-09-06 16:55:00,DR. SANTOS AVENUE,16:00:00
26,Parañaque City,Dr. A. Santos Ave. Corner Canaynay Ave. Brgy. San Dionisio,Gutter Deep,Passable to all vehicles,2025-09-06 16:55:00,DR. SANTOS AVENUE,16:00:00
27,Parañaque City,Dr. A. Santos Ave. in front of SM Sucat,Knee Deep,Not passable to light vehicles,2025-09-06 15:18:00,DR. SANTOS AVENUE,15:00:00
28,Parañaque City,Dr. A. Santos Ave. near Paranaque National Highschool,Gutter Deep,Passable to all vehicles,2025-09-06 15:18:00,DR. SANTOS AVENUE,15:00:00
29,Parañaque City,Dr. A. Santos Ave. Corner Canaynay Ave. Brgy. San Dionisio,Gutter Deep,Passable to all vehicles,2025-09-06 15:18:00,DR. SANTOS AVENUE,15:00:00
30,Manila City,Roxas Blvd Pedro Gil,Subsided,Passable to all vehicles,2025-09-06 15:18:00,ROXAS BOULEVARD,15:00:00
31,Pasay City,Roxas Edsa Intersection NB,Subsided,Passable to all vehicles,2025-09-06 15:18:00,EDSA_PASAY,15:00:00
32,Mandaluyong City,EDSA SHAW tunnel NB,Subsided,Passable to all vehicles,2025-09-06 14:55:00,EDSA_MANDALUYONG,14:00:00
33,Parañaque City,Dr. A. Santos ave. in front of SM Sucat,Gutter Deep,Passable to all vehicles,2025-09-06 14:55:00,DR. SANTOS AVENUE,14:00:00
34,Parañaque City,Dr. A. Santos Ave. near Paranaque National Highschool,Gutter Deep,Passable to all vehicles,2025-09-06 14:55:00,DR. SANTOS AVENUE,14:00:00
35,Parañaque City,Dr. A. Santos Ave. Corner Canaynay Ave. Brgy. San Dionisio,Gutter Deep,Passable to all vehicles,2025-09-06 14:55:00,DR. SANTOS AVENUE,14:00:00
36,Manila City,Roxas Blvd Pedro Gil,Gutter Deep,Passable to all vehicles,2025-09-06 14:55:00,ROXAS BOULEVARD,14:00:00
37,Pasay City,Roxas Edsa Intersection NB,Gutter Deep,Passable to all vehicles,2025-09-06 14:55:00,EDSA_PASAY,14:00:00
38,Mandaluyong City,EDSA SHAW tunnel NB,Gutter Deep,Passable to all vehicles,2025-09-06 14:07:00,EDSA_MANDALUYONG,14:00:00
39,Parañaque City,Dr. A. Santos ave. in front of SM Sucat,Gutter Deep,Passable to all vehicles,2025-09-06 14:07:00,DR. SANTOS AVENUE,14:00:00
40,Parañaque City,Dr. A. Santos Ave. near Paranaque National Highschool,Gutter Deep,Passable to all vehicles,2025-09-06 14:07:00,DR. SANTOS AVENUE,14:00:00
41,Parañaque City,Dr. A. Santos Ave. Corner Canaynay Ave. Brgy. San Dionisio,Gutter Deep,Passable to all vehicles,2025-09-06 14:07:00,DR. SANTOS AVENUE,14:00:00
42,Manila City,Roxas Blvd Pedro Gil,Gutter Deep,Passable to all vehicles,2025-09-06 14:07:00,ROXAS BOULEVARD,14:00:00
43,Pasay City,Roxas Edsa Intersection NB,Gutter Deep,Passable to all vehicles,2025-09-06 14:07:00,EDSA_PASAY,14:00:00
44,Mandaluyong City,EDSA SHAW tunnel NB,Gutter Deep,Passable to all vehicles,2025-09-06 12:15:00,EDSA_MANDALUYONG,12:00:00
45,Manila City,Quirino Station Facing Vito Cruz,Subsided,Passable to all vehicles,2025-09-05 07:20:00,TAFT AVENUE,07:00:00
46,Manila City,Quirino Station Northbound,Subsided,Passable to all vehicles,2025-09-05 07:20:00,TAFT AVENUE,07:00:00
47,Manila City,Quirino Station to Taft,Subsided,Passable to all vehicles,2025-09-05 07:20:00,TAFT AVENUE,07:00:00
48,Mandaluyong City,EDSA Shaw Tunnel NB,Half Gutter Deep,Passable to all vehicles,2025-09-05 07:20:00,EDSA_MANDALUYONG,07:00:00
49,Manila City,Quirino Station Facing Vito Cruz,Gutter Deep,Passable to all vehicles,2025-09-05 05:29:00,TAFT AVENUE,05:00:00
50,Manila City,Quirino Station Northbound,Gutter Deep,Passable to all vehicles,2025-09-05 05:29:00,TAFT AVENUE,05:00:00
51,Manila City,Quirino Station to Taft,Gutter Deep,Passable to all vehicles,2025-09-05 05:29:00,TAFT AVENUE,05:00:00
52,Mandaluyong City,EDSA Shaw Tunnel NB,Gutter Deep,Passable to all vehicles,2025-09-05 05:29:00,EDSA_MANDALUYONG,05:00:00
53,Manila City,Roxas Blvd. P. Ocampo,Subsided,Passable to all vehicles,2025-09-01 21:40:00,ROXAS BOULEVARD,21:00:00
54,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles,2025-08-30 20:16:00,COMMONWEALTH AVENUE,20:00:00
55,Quezon City,Commonwealth Bitoon West Bound,Gutter Deep,Passable to all vehicles,2025-08-30 20:16:00,COMMONWEALTH AVENUE,20:00:00
56,Quezon City,EDSA Dario NB,Subsided,Passable to all vehicles,2025-08-30 19:15:00,EDSA_QC_NORTH,19:00:00
57,Quezon City,EDSA Munoz NB,Subsided,Passable to all vehicles,2025-08-30 19:15:00,EDSA_QC_NORTH,19:00:00
58,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles,2025-08-30 19:15:00,COMMONWEALTH AVENUE,19:00:00
59,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles,2025-08-30 19:15:00,COMMONWEALTH AVENUE,19:00:00
60,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles,2025-08-30 18:48:00,EDSA_QC_NORTH,18:00:00
61,Quezon City,EDSA Centris service road NB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,EDSA_QC_CENTRAL,18:00:00
62,Quezon City,C5 Katipunan Ateneo NB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,C5_KATIPUNAN,18:00:00
63,Quezon City,EDSA Munoz NB,Gutter Deep,Passable to all vehicles,2025-08-30 18:48:00,EDSA_QC_NORTH,18:00:00
64,Quezon City,Commonwealth Ever EB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,COMMONWEALTH AVENUE,18:00:00
65,Quezon City,C5 Katipunan Aurora service road SB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,C5_KATIPUNAN,18:00:00
66,Quezon City,EDSA West Avenue SB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,EDSA_QC_SOUTH,18:00:00
67,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles,2025-08-30 18:48:00,COMMONWEALTH AVENUE,18:00:00
68,Quezon City,Edsa Kamuning intersection NB and SB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,EDSA_QC_SOUTH,18:00:00
69,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles,2025-08-30 18:48:00,COMMONWEALTH AVENUE,18:00:00
70,Quezon City,EDSA Mother Ignacia SB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,EDSA_QC_SOUTH,18:00:00
71,Quezon City,Quezon Avenue Lung Center EB and WB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,QUEZON AVENUE,18:00:00
72,Quezon City,C5 Katipunan Garcia SB and NB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,C5_KATIPUNAN,18:00:00
73,Quezon City,Commonwealth Dona Carmen WB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,COMMONWEALTH AVENUE,18:00:00
74,Quezon City,Quezon Avenue EDSA Tunnel WB and EB,Subsided,Passable to all vehicles,2025-08-30 18:48:00,EDSA_QC_CENTRAL,18:00:00
75,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles,2025-08-30 17:55:00,EDSA_QC_NORTH,17:00:00
76,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles,2025-08-30 17:55:00,EDSA_QC_CENTRAL,17:00:00
77,Quezon City,C5 Katipunan Ateneo NB,Knee Deep,Not passable to light vehicles,2025-08-30 17:55:00,C5_KATIPUNAN,17:00:00
78,Quezon City,EDSA Munoz NB,Gutter Deep,Passable to all vehicles,2025-08-30 17:55:00,EDSA_QC_NORTH,17:00:00
79,Quezon City,Commonwealth Ever EB,Above Gutter Deep,Passable to all vehicles,2025-08-30 17:55:00,COMMONWEALTH AVENUE,17:00:00
80,Quezon City,C5 Katipunan Aurora service road SB,Knee Deep,Not passable to light vehicles,2025-08-30 17:55:00,C5_KATIPUNAN,17:00:00
81,Quezon City,EDSA West Avenue SB,Gutter Deep,Passable to all vehicles,2025-08-30 17:55:00,EDSA_QC_SOUTH,17:00:00
82,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles,2025-08-30 17:55:00,COMMONWEALTH AVENUE,17:00:00
83,Quezon City,Edsa Kamuning intersection NB and SB,Gutter Deep,Passable to all vehicles,2025-08-30 17:55:00,EDSA_QC_SOUTH,17:00:00
84,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles,2025-08-30 17:55:00,COMMONWEALTH AVENUE,17:00:00
85,Quezon City,EDSA Mother Ignacia SB,Knee Deep,Not passable to light vehicles,2025-08-30 17:55:00,EDSA_QC_SOUTH,17:00:00
86,Quezon City,Quezon Avenue Lung Center EB and WB,Above Gutter Deep,Passable to all vehicles,2025-08-30 17:55:00,QUEZON AVENUE,17:00:00
87,Quezon City,C5 Katipunan Garcia SB and NB,Knee Deep,Not passable to light vehicles,2025-08-30 17:55:00,C5_KATIPUNAN,17:00:00
88,Quezon City,Commonwealth Dona Carmen WB,Gutter Deep,Passable to all vehicles,2025-08-30 17:55:00,COMMONWEALTH AVENUE,17:00:00
89,Quezon City,Commonwealth UP Gym EB,Waist Deep,Not passable to all vehicles,2025-08-30 17:55:00,COMMONWEALTH AVENUE,17:00:00
90,Quezon City,Quezon Avenue EDSA Tunnel WB and EB,Waist Deep,Not passable to all vehicles,2025-08-30 17:55:00,EDSA_QC_CENTRAL,17:00:00
91,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles,2025-08-30 16:55:00,EDSA_QC_NORTH,16:00:00
92,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles,2025-08-30 16:55:00,EDSA_QC_CENTRAL,16:00:00
93,Quezon City,C5 Katipunan Ateneo NB,Knee Deep,Not passable to light vehicles,2025-08-30 16:55:00,C5_KATIPUNAN,16:00:00
94,Quezon City,EDSA Balintawak NB,Subsided,Passable to all vehicles,2025-08-30 16:55:00,EDSA_CALOOCAN,16:00:00
95,Quezon City,EDSA Munoz NB,Gutter Deep,Passable to all vehicles,2025-08-30 16:55:00,EDSA_QC_NORTH,16:00:00
96,Quezon City,Commonwealth Ever EB,Above Gutter Deep,Passable to all vehicles,2025-08-30 16:55:00,COMMONWEALTH AVENUE,16:00:00
97,Quezon City,C5 Katipunan Aurora service road SB,Knee Deep,Not passable to light vehicles,2025-08-30 16:55:00,C5_KATIPUNAN,16:00:00
98,Quezon City,EDSA West Avenue SB,Gutter Deep,Passable to all vehicles,2025-08-30 16:55:00,EDSA_QC_SOUTH,16:00:00
99,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles,2025-08-30 16:55:00,COMMONWEALTH AVENUE,16:00:00
100,Quezon City,Commonwealth Technohub WB,Subsided,Passable to all vehicles,2025-08-30 16:55:00,COMMONWEALTH AVENUE,16:00:00
101,Quezon City,Edsa Kamuning intersection NB and SB,Gutter Deep,Passable to all vehicles,2025-08-30 16:55:00,EDSA_QC_SOUTH,16:00:00
102,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles,2025-08-30 16:55:00,COMMONWEALTH AVENUE,16:00:00
103,Quezon City,EDSA Mother Ignacia SB,Knee Deep,Not passable to light vehicles,2025-08-30 16:55:00,EDSA_QC_SOUTH,16:00:00
104,Quezon City,Quezon Avenue Lung Center EB and WB,Above Gutter Deep,Passable to all vehicles,2025-08-30 16:55:00,QUEZON AVENUE,16:00:00
105,Quezon City,C5 Katipunan Garcia SB and NB,Knee Deep,Not passable to light vehicles,2025-08-30 16:55:00,C5_KATIPUNAN,16:00:00
106,Quezon City,Commonwealth Dona Carmen WB,Gutter Deep,Passable to all vehicles,2025-08-30 16:55:00,COMMONWEALTH AVENUE,16:00:00
107,Quezon City,Commonwealth UP Gym EB,Waist Deep,Not passable to all vehicles,2025-08-30 16:55:00,COMMONWEALTH AVENUE,16:00:00
108,Quezon City,Quezon Avenue EDSA Tunnel WB and EB,Waist Deep,Not passable to all vehicles,2025-08-30 16:55:00,EDSA_QC_CENTRAL,16:00:00
109,Quezon City,Luzon Ave. C5 Ext.,Subsided,Passable to all vehicles,2025-08-30 16:38:00,C5_LUZON,16:00:00
110,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles,2025-08-30 16:38:00,EDSA_QC_NORTH,16:00:00
111,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles,2025-08-30 16:38:00,EDSA_QC_CENTRAL,16:00:00
112,Quezon City,EDSA North Avenue NB,Subsided,Passable to all vehicles,2025-08-30 16:38:00,EDSA_QC_NORTH,16:00:00
113,Quezon City,C5 Katipunan Ateneo NB,Knee Deep,Not passable to light vehicles,2025-08-30 16:38:00,C5_KATIPUNAN,16:00:00
114,Quezon City,EDSA Balintawak NB,Gutter Deep,Passable to all vehicles,2025-08-30 16:38:00,EDSA_CALOOCAN,16:00:00
115,Quezon City,EDSA Munoz NB,Gutter Deep,Passable to all vehicles,2025-08-30 16:38:00,EDSA_QC_NORTH,16:00:00
116,Quezon City,Commonwealth Ever EB,Above Gutter Deep,Passable to all vehicles,2025-08-30 16:38:00,COMMONWEALTH AVENUE,16:00:00
117,Quezon City,C5 Katipunan Aurora service road SB,Knee Deep,Not passable to light vehicles,2025-08-30 16:38:00,C5_KATIPUNAN,16:00:00
118,Quezon City,EDSA West Avenue SB,Gutter Deep,Passable to all vehicles,2025-08-30 16:38:00,EDSA_QC_SOUTH,16:00:00
119,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles,2025-08-30 16:38:00,COMMONWEALTH AVENUE,16:00:00
120,Quezon City,Commonwealth Technohub WB,Knee Deep,Not passable to light vehicles,2025-08-30 16:38:00,COMMONWEALTH AVENUE,16:00:00
121,Quezon City,Edsa Kamuning intersection NB and SB,Gutter Deep,Passable to all vehicles,2025-08-30 16:38:00,EDSA_QC_SOUTH,16:00:00
122,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles,2025-08-30 16:38:00,COMMONWEALTH AVENUE,16:00:00
123,Quezon City,EDSA Mother Ignacia SB,Knee Deep,Not passable to light vehicles,2025-08-30 16:38:00,EDSA_QC_SOUTH,16:00:00
124,Quezon City,Quezon Avenue Lung Center EB and WB,Above Gutter Deep,Passable to all vehicles,2025-08-30 16:38:00,QUEZON AVENUE,16:00:00
125,Quezon City,C5 Katipunan Garcia SB and NB,Knee Deep,Not passable to light vehicles,2025-08-30 16:38:00,C5_KATIPUNAN,16:00:00
126,Quezon City,Commonwealth Dona Carmen WB,Gutter Deep,Passable to all vehicles,2025-08-30 16:38:00,COMMONWEALTH AVENUE,16:00:00
127,Quezon City,Commonwealth UP Gym EB,Waist Deep,Not passable to all vehicles,2025-08-30 16:38:00,COMMONWEALTH AVENUE,16:00:00
